ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice ,20th Choice
000302-00-0212,C03,C13,,,,,,,,,,,,,,,,,,
000302-00-0215,C12,C17,C13,C16,C18,C04,C06,C20,C14,C15,C07,C08,C05,C03,C02,C01,C19,C11,C09,C10
000302-00-0219,C09,C14,C18,C04,C06,C13,,,,,,,,,,,,,,
000302-00-0222,C18,C06,C20,,,,,,,,,,,,,,,,,
000302-00-0224,C06,C12,C18,C20,C01,C13,C03,C08,C09,C10,C02,C04,C07,C15,C16,C17,C19,C05,C11,
000302-00-0226,C17,C18,C02,C04,C01,,,,,,,,,,,,,,,
000302-00-0230,C06,C12,C18,C20,C01,C10,C08,C11,C02,C16,C17,C15,C14,C07,C09,C13,C04,,,
000302-00-0234,overvote,,,,,,,,,,,,,,,,,,,
000302-00-0235,C12,C18,C06,C19,,,,,,,,,,,,,,,,
000302-00-0240,C18,C20,C15,C12,C06,,,,,,,,,,,,,,,
000302-00-0241,C18,C20,,,,,,,,,,,,,,,,,,
000302-00-0246,overvote,,,,,,,,,,,,,,,,,,,
000302-00-0248,C12,C20,C18,C06,,,,,,,,,,,,,,,,
000302-00-0252,C20,C18,C12,C06,,,,,,,,,,,,,,,,
000302-00-0254,C16,C01,C13,C04,C17,C15,C02,,,,,,,,,,,,,
000302-00-0258,C20,C02,C04,C15,C18,C16,C13,overvote,C06,C12,C17,C01,C03,C19,C14,C11,C09,,,
000302-00-0260,C20,C18,,,,,,,,,,,,,,,,,,
000302-00-0264,C06,C12,C20,C18,C01,C17,C19,C13,,,,,,,,,,,,
000302-00-0266,C18,C12,,,,,,,,,,,,,,,,,,
000302-00-0268,C18,C12,C16,,,,,,,,,,,,,,,,,
000302-00-0270,C18,C20,C12,,,,,,,,,,,,,,,,,
000302-00-0274,C20,C18,C01,C06,C15,C16,C13,C12,,,,,,,,,,,,
000302-00-0277,C20,C18,C14,C01,C17,C12,C07,C08,C13,,,,,,,,,,,
000302-00-0278,C15,,,,,,,,,,,,,,,,,,,
000302-00-0283,C06,C12,C13,C18,C20,,,,,,,,,,,,,,,
000302-00-0284,C01,C20,C18,C06,C09,C12,C14,C17,C19,C15,C11,C10,C07,C05,C04,C03,C02,C16,C08,C13
000302-00-0288,C17,C04,C14,,,,,,,,,,,,,,,,,
000302-00-0290,C04,C18,C08,C17,C20,,,,,,,,,,,,,,,
000302-00-0293,C16,C13,C02,C03,C10,C01,C19,C20,C18,C06,C14,,,,,,,,,
000302-00-0296,C04,C06,C12,C18,C19,C20,C01,C15,,,,,,,,,,,,
000302-00-0299,C20,C15,,,,,,,,,,,,,,,,,,
000302-00-0301,,,,,,,,,,,,,,,,,,,,
000302-00-0303,C06,C20,C18,C16,C14,,,,,,,,,,,,,,,
000302-00-0306,C20,,,,,,,,,,,,,,,,,,,
000302-00-0308,C20,C01,C02,C04,C06,C12,C13,C15,C16,C18,,,,,,,,,,
000302-00-0310,C12,C13,C02,C04,C06,C15,,,,,,,,,,,,,,
000302-00-0315,C09,C14,C04,C01,C16,C15,C02,C05,,,,,,,,,,,,
000302-00-0317,C20,,,,,,,,,,,,,,,,,,,
000302-00-0321,C18,C12,C06,,,,,,,,,,,,,,,,,
000302-00-0323,C06,C12,C20,C18,C01,C17,C19,C13,,,,,,,,,,,,
000302-00-0324,C18,C05,C07,C08,C10,C03,C11,C14,C19,C17,,,,,,,,,,
000302-00-0329,C01,,,,,,,,,,,,,,,,,,,
000302-00-0331,C12,C18,C06,,,,,,,,,,,,,,,,,
000302-00-0335,C13,C16,C03,C04,C19,,,,,,,,,,,,,,,
000302-00-0340,C06,C12,C18,C20,C01,C14,C02,C03,C10,,,,,,,,,,,
000302-00-0341,C01,C06,C12,C03,C18,C20,C10,C08,C11,,,,,,,,,,,
000302-00-0344,C04,C15,C20,C18,C16,C06,C05,,,,,,,,,,,,,
000302-00-0349,C18,C12,C15,C13,C14,,,,,,,,,,,,,,,
000302-00-0352,C13,C12,C18,C09,C01,C04,C06,,,,,,,,,,,,,
000302-00-0355,C20,C18,,,,,,,,,,,,,,,,,,
000302-00-0357,C20,C18,,,,,,,,,,,,,,,,,,
000302-00-0361,C18,C15,C06,,,,,,,,,,,,,,,,,
000302-00-0363,C18,C16,C13,C04,,,,,,,,,,,,,,,,
000302-00-0367,C06,C18,C15,C01,,,,,,,,,,,,,,,,
000302-00-0368,C08,C09,C10,C11,C12,C01,C05,C07,C06,C04,C03,C02,C20,C19,C18,C17,C16,C14,C13,C15
000302-00-0374,C03,C01,C13,C02,C16,C19,C10,,,,,,,,,,,,,
000302-00-0376,C01,C15,C02,C04,C06,C10,C12,C19,C08,C07,,,,,,,,,,
000302-00-0380,C18,C06,C20,,,,,,,,,,,,,,,,,
000302-00-0384,C03,C10,C20,C18,C06,C12,C02,,,,,,,,,,,,,
000302-00-0387,C15,C16,C18,C06,,,,,,,,,,,,,,,,
000302-00-0389,C15,C16,C17,,,,,,,,,,,,,,,,,
000302-00-0395,C02,C04,C16,,,,,,,,,,,,,,,,,
000302-00-0396,C17,C01,C15,C19,C04,C02,C16,C20,,,,,,,,,,,,
000302-00-0401,overvote,,,,,,,,,,,,,,,,,,,
000302-00-0402,C16,C15,C18,C06,C02,,,,,,,,,,,,,,,
000302-00-0407,C18,C16,C09,C04,,,,,,,,,,,,,,,,
000302-00-0409,C06,C15,C12,C02,C04,,,,,,,,,,,,,,,
000302-00-0412,C03,C06,,,,,,,,,,,,,,,,,,
000302-00-0415,C11,C05,C17,C07,C09,C08,C03,C01,C19,C10,C14,,,,,,,,,
000302-00-0419,C16,C19,C04,C17,C13,,,,,,,,,,,,,,,
000302-00-0422,C18,C04,C12,,,,,,,,,,,,,,,,,
000302-00-0424,C03,C18,C20,C04,C06,C16,C13,C12,,,,,,,,,,,,
000302-00-0427,C16,C02,,,,,,,,,,,,,,,,,,
000302-00-0431,C01,,,,,,,,,,,,,,,,,,,
000302-00-0434,C06,C12,C18,C20,C01,C02,C13,C04,C15,C10,C11,C14,C16,C17,C19,C03,C05,,,
000302-00-0437,C14,C01,C02,C06,C13,C16,,,,,,,,,,,,,,
000302-00-0439,C20,C16,C14,,,,,,,,,,,,,,,,,
000302-00-0441,C03,,,,,,,,,,,,,,,,,,,
000302-00-0445,C06,C12,C03,C09,C13,C17,,,,,,,,,,,,,,
000302-00-0448,C12,C06,C09,,,,,,,,,,,,,,,,,
000302-00-0451,C18,,,,,,,,,,,,,,,,,,,
000302-00-0455,C15,C16,C04,,,,,,,,,,,,,,,,,
000302-00-0456,C06,C18,C20,C12,C15,C01,C09,,,,,,,,,,,,,
000302-00-0461,C01,C03,C05,C07,C08,C09,C10,C11,C17,C14,,,,,,,,,,
000302-00-0462,C15,,,,,,,,,,,,,,,,,,,
000302-00-0466,C20,C18,C06,,,,,,,,,,,,,,,,,
000302-00-0469,C03,,,,,,,,,,,,,,,,,,,
000302-00-0471,C02,C06,C20,C16,,,,,,,,,,,,,,,,
000302-00-0475,C03,C10,C20,C18,C06,C12,C02,C01,C16,C19,C17,,,,,,,,,
000302-00-0479,C14,C16,C04,C19,C15,C13,C01,C10,C17,,,,,,,,,,,
000302-00-0481,C14,C16,C04,C13,C02,C17,C19,C01,,,,,,,,,,,,
000302-00-0485,C14,C20,C18,C01,C02,C05,C12,C16,C06,,,,,,,,,,,
000302-00-0487,C20,,,,,,,,,,,,,,,,,,,
000302-00-0490,C10,C12,C20,,,,,,,,,,,,,,,,,
000302-00-0492,,,,,,,,,,,,,,,,,,,,
000302-00-0495,C20,C06,,,,,,,,,,,,,,,,,,
000302-00-0499,C20,C14,C06,C15,C16,,,,,,,,,,,,,,,
000302-00-0502,C17,,,,,,,,,,,,,,,,,,,
000302-00-0504,overvote,C06,,,,,,,,,,,,,,,,,,
000302-00-0509,C18,C20,C16,C06,C13,,,,,,,,,,,,,,,
000302-00-0511,C20,C12,C01,C04,C05,,,,,,,,,,,,,,,
000302-00-0515,overvote,,,,,,,,,,,,,,,,,,,
000302-00-0516,C18,C20,C06,C01,C03,C04,C05,C19,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,,
000302-00-0520,C18,C12,,,,,,,,,,,,,,,,,,
000302-00-0523,,,,,,,,,,,,,,,,,,,,
000302-00-0527,C17,C01,C04,,,,,,,,,,,,,,,,,
000302-00-0529,C02,C04,C06,C08,C13,C15,C16,C18,C20,,,,,,,,,,,
000302-00-0533,C20,C07,,,,,,,,,,,,,,,,,,
000302-00-0534,C20,C06,,,,,,,,,,,,,,,,,,
000302-00-0537,C06,C20,,,,,,,,,,,,,,,,,,
000302-00-0542,C06,C15,C12,C16,C18,C19,C20,C03,C04,C07,C09,C10,C11,C13,C14,,,,,
000302-00-0545,C16,C15,C18,C20,C06,,,,,,,,,,,,,,,
000302-00-0547,C20,C06,C18,C12,C13,C02,C04,,,,,,,,,,,,,
000302-00-0550,C06,C02,C12,,,,,,,,,,,,,,,,,
000302-00-0553,C16,C15,,,,,,,,,,,,,,,,,,
000302-00-0556,C20,C18,C06,,,,,,,,,,,,,,,,,
000302-00-0558,C12,C15,C02,C06,C20,C04,C13,,,,,,,,,,,,,
000302-00-0561,C20,C02,C13,,,,,,,,,,,,,,,,,
000302-00-0565,C20,,,,,,,,,,,,,,,,,,,
000302-00-0568,overvote,C18,C20,C02,C09,,,,,,,,,,,,,,,
000302-00-0572,C18,C15,C20,C02,C03,C04,C06,C12,C13,,,,,,,,,,,
000302-00-0573,C20,C01,C06,C13,C10,C05,C03,,,,,,,,,,,,,
000302-00-0577,C02,C03,C10,C16,C19,C13,C01,C18,C20,C04,C12,C15,C05,C07,C08,C09,C11,C14,,
000302-00-0579,C16,C17,C06,C20,C18,C10,C05,C04,,,,,,,,,,,,
000302-00-0583,C17,C03,,,,,,,,,,,,,,,,,,
000302-00-0587,C17,C04,C20,C18,C12,C06,C07,C02,C03,C05,C08,C09,C10,C11,C13,C14,C15,C16,C19,C01
000302-00-0589,C18,C06,C20,,,,,,,,,,,,,,,,,
000302-00-0592,C15,C16,C02,,,,,,,,,,,,,,,,,
000302-00-0595,C17,C19,C14,,,,,,,,,,,,,,,,,
000302-00-0598,C18,C12,C20,,,,,,,,,,,,,,,,,
000302-00-0602,C04,C18,C01,C06,C12,,,,,,,,,,,,,,,
000302-00-0605,C12,C18,C06,,,,,,,,,,,,,,,,,
000302-00-0607,C01,C13,C16,C04,,,,,,,,,,,,,,,,
000302-00-0611,C12,C20,C06,C18,,,,,,,,,,,,,,,,
000302-00-0613,C20,C12,C06,C19,C16,C13,,,,,,,,,,,,,,
000302-00-0617,C18,C20,C19,,,,,,,,,,,,,,,,,
000302-00-0620,C13,C02,C03,,,,,,,,,,,,,,,,,
000302-00-0623,,,,,,,,,,,,,,,,,,,,
000302-00-0625,C18,C06,C12,,,,,,,,,,,,,,,,,
000302-00-0628,C02,C17,C12,C16,C15,C18,C01,C06,C13,,,,,,,,,,,
000302-00-0631,C01,C13,C17,,,,,,,,,,,,,,,,,
000302-00-0635,C20,,,,,,,,,,,,,,,,,,,
000302-00-0638,C09,C15,C04,,,,,,,,,,,,,,,,,
000302-00-0641,C16,C18,C12,C06,C19,C13,C15,,,,,,,,,,,,,
000302-00-0643,C20,,,,,,,,,,,,,,,,,,,
000302-00-0645,C06,C12,C20,,,,,,,,,,,,,,,,,
000302-00-0649,C06,C12,,,,,,,,,,,,,,,,,,
000302-00-0653,C01,C04,C19,C14,C02,,,,,,,,,,,,,,,
000302-00-0656,C15,,,,,,,,,,,,,,,,,,,
000302-00-0659,C15,C18,C20,C01,C16,C02,,,,,,,,,,,,,,
000302-00-0662,C06,,,,,,,,,,,,,,,,,,,
000302-00-0663,C04,C06,C12,C13,C15,C16,C18,C20,C02,,,,,,,,,,,
000302-00-0666,C18,C02,,,,,,,,,,,,,,,,,,
000302-00-0670,C18,,,,,,,,,,,,,,,,,,,
000302-00-0672,C18,C06,C12,C15,C20,C13,,,,,,,,,,,,,,
000302-00-0676,C06,C07,C15,C16,C01,C04,,,,,,,,,,,,,,
000302-00-0679,C03,C04,C09,,,,,,,,,,,,,,,,,
000302-00-0681,C16,C09,,,,,,,,,,,,,,,,,,
000302-00-0686,C16,overvote,C02,C09,,,,,,,,,,,,,,,,
000302-00-0688,C09,C16,,,,,,,,,,,,,,,,,,
000302-00-0691,C03,C04,C02,C19,C16,,,,,,,,,,,,,,,
000302-00-0694,C14,C09,C18,C20,C06,C13,,,,,,,,,,,,,,
000302-00-0697,C16,C06,C18,,,,,,,,,,,,,,,,,
000302-00-0700,C16,C04,C13,C20,C09,,,,,,,,,,,,,,,
000302-00-0703,C16,C04,C20,C13,C17,,,,,,,,,,,,,,,
000302-00-0705,C10,C02,C16,C04,C12,C15,,,,,,,,,,,,,,
000302-00-0708,,,,,,,,,,,,,,,,,,,,
000302-00-0712,C20,C16,C06,,,,,,,,,,,,,,,,,
000302-00-0715,C12,C16,,,,,,,,,,,,,,,,,,
000302-00-0718,C12,C14,C17,C19,C01,C03,C05,C07,,,,,,,,,,,,
000302-00-0721,C06,C03,C20,C18,,,,,,,,,,,,,,,,
000302-00-0724,C16,C09,,,,,,,,,,,,,,,,,,
000302-00-0726,,,,,,,,,,,,,,,,,,,,
000302-00-0729,C18,C20,C01,C06,,,,,,,,,,,,,,,,
000302-00-0733,overvote,overvote,overvote,overvote,C19,C20,,,,,,,,,,,,,,
000302-00-0735,C16,C01,C18,C15,,,,,,,,,,,,,,,,
000302-00-0738,C07,,,,,,,,,,,,,,,,,,,
000302-00-0741,C12,C16,C18,,,,,,,,,,,,,,,,,
000302-00-0745,C20,C18,C06,C15,C01,C17,,,,,,,,,,,,,,
000302-00-0748,C20,C15,C04,C18,C02,C16,C05,C13,C12,C11,,,,,,,,,,
000302-00-0752,C12,,,,,,,,,,,,,,,,,,,
000302-00-0753,C18,C15,,,,,,,,,,,,,,,,,,
000302-00-0757,C20,C16,C17,C18,C19,C02,C01,C03,C05,C06,C04,C09,C07,C08,C11,C10,C12,C13,C14,C15
000302-00-0759,C20,C18,overvote,C06,,,,,,,,,,,,,,,,
000302-00-0763,C15,C18,C05,C16,C20,C14,C08,C10,C13,,,,,,,,,,,
000302-00-0766,C13,C16,C12,C18,C04,C02,C20,,,,,,,,,,,,,
000302-00-0768,C20,C18,,,,,,,,,,,,,,,,,,
000302-00-0771,C06,C15,C16,C20,,,,,,,,,,,,,,,,
000302-00-0774,C20,,,,,,,,,,,,,,,,,,,
000302-00-0778,C20,,,,,,,,,,,,,,,,,,,
000302-00-0780,C06,C20,C18,C05,,,,,,,,,,,,,,,,
000302-00-0782,C20,,,,,,,,,,,,,,,,,,,
000302-00-0786,C20,,,,,,,,,,,,,,,,,,,
000302-00-0790,C20,,,,,,,,,,,,,,,,,,,
000302-00-0791,C15,C16,C17,C04,C19,C02,C11,,,,,,,,,,,,,
000302-00-0795,C20,C14,C15,C16,,,,,,,,,,,,,,,,
000302-00-0797,C15,C16,C06,C14,C18,C20,C04,,,,,,,,,,,,,
000302-00-0802,C16,C13,C17,,,,,,,,,,,,,,,,,
000302-00-0804,C09,C14,C01,C12,,,,,,,,,,,,,,,,
000302-00-0807,C18,C16,,,,,,,,,,,,,,,,,,
000302-00-0811,C20,C18,C12,,,,,,,,,,,,,,,,,
000302-00-0814,C18,C06,C20,,,,,,,,,,,,,,,,,
000302-00-0815,overvote,C04,C16,,,,,,,,,,,,,,,,,
000302-00-0820,C13,C14,C04,C16,,,,,,,,,,,,,,,,
000302-00-0822,C18,C20,C06,C04,,,,,,,,,,,,,,,,
000302-00-0826,C18,C20,C02,C06,,,,,,,,,,,,,,,,
000302-00-0829,C15,C06,C08,C18,,,,,,,,,,,,,,,,
000302-00-0832,C15,C16,C06,,,,,,,,,,,,,,,,,
000302-00-0834,C06,C04,C14,C11,C20,C18,,,,,,,,,,,,,,
000302-00-0838,C20,C02,C04,C06,C07,C10,C12,C14,C15,C16,C18,,,,,,,,,
000302-00-0839,C04,C02,C06,C13,C20,C12,C16,C18,C03,,,,,,,,,,,
000302-00-0843,C03,,,,,,,,,,,,,,,,,,,
000302-00-0847,C02,C04,C16,,,,,,,,,,,,,,,,,
000302-00-0849,C02,C04,C16,,,,,,,,,,,,,,,,,
000302-00-0854,C02,C08,C09,C13,C16,C17,C19,C20,C11,C10,C03,,,,,,,,,
000302-00-0856,C01,C02,C03,C10,,,,,,,,,,,,,,,,
000302-00-0860,C01,C13,C02,C06,C10,C16,,,,,,,,,,,,,,
000302-00-0863,C15,C16,C20,C02,C06,,,,,,,,,,,,,,,
000302-00-0865,C04,C16,C20,C01,C06,C18,C02,C15,C13,C12,C05,,,,,,,,,
000302-00-0869,C01,C14,C02,C16,C13,C12,C15,C17,C11,C10,,,,,,,,,,
000302-00-0872,C01,C09,,,,,,,,,,,,,,,,,,
000302-00-0875,overvote,overvote,overvote,,,,,,,,,,,,,,,,,
000302-00-0878,C18,C20,C06,C12,C16,C02,,,,,,,,,,,,,,
000302-00-0881,C12,,,,,,,,,,,,,,,,,,,
000302-00-0883,C13,C12,overvote,C19,C16,,,,,,,,,,,,,,,
000302-00-0887,C01,,,,,,,,,,,,,,,,,,,
000302-00-0889,C20,C14,,,,,,,,,,,,,,,,,,
000302-00-0894,C03,C13,C09,C19,C02,,,,,,,,,,,,,,,
000302-00-0895,C01,C18,,,,,,,,,,,,,,,,,,
000302-00-0900,C01,C18,C20,C15,C04,C06,C13,,,,,,,,,,,,,
000302-00-0901,C14,C20,,,,,,,,,,,,,,,,,,
000302-00-0903,C18,C12,C06,C20,C01,C15,,,,,,,,,,,,,,
000302-00-0906,C18,C16,C10,,,,,,,,,,,,,,,,,
000302-00-0908,C06,C12,C18,C20,,,,,,,,,,,,,,,,
000302-00-0913,C01,C09,C14,C16,C04,C10,C13,C12,C18,C20,C15,,,,,,,,,
000302-00-0915,C02,C13,C12,C04,C09,C16,,,,,,,,,,,,,,
000302-00-0918,C20,C12,C06,C18,,,,,,,,,,,,,,,,
000302-00-0920,C04,C18,C16,C09,C02,C15,C10,C12,,,,,,,,,,,,
000302-00-0924,C16,,,,,,,,,,,,,,,,,,,
000302-00-0925,C04,C13,C18,C10,C11,,,,,,,,,,,,,,,
000302-00-0929,C01,C06,C08,C14,C10,C09,C11,,,,,,,,,,,,,
000302-00-0931,C02,C14,C01,C04,C09,C13,C16,,,,,,,,,,,,,
000302-00-0933,overvote,overvote,overvote,C19,,,,,,,,,,,,,,,,
000302-00-0934,C14,C13,C17,C11,C01,C04,C08,C19,C07,C03,C05,C10,C12,C09,C15,C16,C02,C20,C06,C18
000302-00-0936,C18,C20,C06,,,,,,,,,,,,,,,,,
000302-00-0940,C14,C17,C19,C01,C03,C05,C07,C08,C09,C10,C11,,,,,,,,,
000302-00-0942,C12,C06,C18,,,,,,,,,,,,,,,,,
000302-00-0944,C16,C18,C15,C06,C02,C08,,,,,,,,,,,,,,
000302-00-0949,C06,,,,,,,,,,,,,,,,,,,
000302-00-0952,C20,C18,C06,C15,overvote,C02,C04,,,,,,,,,,,,,
000302-00-0955,C04,C18,C01,C09,C02,C06,,,,,,,,,,,,,,
000302-00-0956,C17,C16,C19,C01,,,,,,,,,,,,,,,,
000302-00-0959,C03,,,,,,,,,,,,,,,,,,,
000302-00-0962,C15,C17,C02,C04,,,,,,,,,,,,,,,,
000302-00-0964,C01,C09,C07,C14,C10,C08,C05,C19,,,,,,,,,,,,
000302-00-0968,C15,C16,C07,,,,,,,,,,,,,,,,,
000302-00-0971,C18,,,,,,,,,,,,,,,,,,,
000302-00-0972,C13,C01,C02,C15,C04,,,,,,,,,,,,,,,
000302-00-0977,C20,C01,C06,,,,,,,,,,,,,,,,,
000302-00-0978,C13,C02,C01,C14,C16,C15,C04,C05,C07,C09,C10,C12,C17,C19,C20,,,,,
000302-00-0982,C10,C16,C13,C03,C01,C02,C04,C06,C19,,,,,,,,,,,
000302-00-0985,C18,C15,C04,C13,C08,,,,,,,,,,,,,,,
000302-00-0989,C15,C04,C13,C16,C18,C06,,,,,,,,,,,,,,
000302-00-0992,C15,C16,C10,C20,C06,C18,C02,C04,C13,C12,,,,,,,,,,
000302-00-0995,C15,C16,C06,,,,,,,,,,,,,,,,,
000302-00-0996,C06,C20,C18,C12,C15,C01,C09,,,,,,,,,,,,,
000302-00-0999,C15,C06,C01,C04,C16,C19,C02,,,,,,,,,,,,,
000302-00-1004,C10,C01,C16,C13,C03,C02,C04,C06,C19,C05,C15,,,,,,,,,
000302-00-1007,C20,C16,C13,,,,,,,,,,,,,,,,,
000302-00-1008,C06,C18,C04,C12,C10,,,,,,,,,,,,,,,
000302-00-1011,C04,C02,C16,C10,C17,C06,C13,,,,,,,,,,,,,
000302-00-1015,overvote,,,,,,,,,,,,,,,,,,,
000302-00-1018,C06,C18,C20,C12,,,,,,,,,,,,,,,,
000302-00-1021,C15,C16,,,,,,,,,,,,,,,,,,
000302-00-1023,C06,,,,,,,,,,,,,,,,,,,
000302-00-1027,,,,,,,,,,,,,,,,,,,,
000302-00-1030,C06,C20,C12,C18,C13,,,,,,,,,,,,,,,
000302-00-1034,C14,C01,C02,C04,C09,C13,,,,,,,,,,,,,,
000302-00-1036,,,,,,,,,,,,,,,,,,,,
000302-00-1038,C16,C18,,,,,,,,,,,,,,,,,,
000302-00-1043,C13,C02,C14,C09,C16,,,,,,,,,,,,,,,
000302-00-1044,C09,C13,C02,,,,,,,,,,,,,,,,,
000302-00-1047,C17,C04,,,,,,,,,,,,,,,,,,
000302-00-1052,C16,C04,C02,C20,C13,C12,C18,C06,,,,,,,,,,,,
000302-00-1054,,,,,,,,,,,,,,,,,,,,
000302-00-1058,C15,,,,,,,,,,,,,,,,,,,
000302-00-1060,C18,C06,C20,,,,,,,,,,,,,,,,,
000302-00-1062,C03,C16,,,,,,,,,,,,,,,,,,
000302-00-1066,C06,C18,C20,,,,,,,,,,,,,,,,,
000302-00-1069,overvote,,,,,,,,,,,,,,,,,,,
000302-00-1072,C20,,,,,,,,,,,,,,,,,,,
000302-00-1075,C20,,,,,,,,,,,,,,,,,,,
000302-00-1078,C15,C04,C16,C12,C20,C06,C17,C18,C14,C19,C05,C03,C02,C01,C13,C07,C08,C09,C10,
000302-00-1082,C20,C06,C16,,,,,,,,,,,,,,,,,
000302-00-1084,overvote,overvote,overvote,,,,,,,,,,,,,,,,,
000302-00-1087,C06,C20,C18,,,,,,,,,,,,,,,,,
000302-00-1092,C04,C13,C18,C15,,,,,,,,,,,,,,,,
000302-00-1094,C06,C12,C18,C20,C01,C13,C03,C08,C10,C11,C14,C02,C04,C09,C15,,,,,
000302-00-1098,C06,C12,C18,C20,C01,C13,C03,C08,C10,C11,C14,C02,C04,C09,C15,,,,,
000302-00-1100,C16,C02,C20,C09,C04,C06,C13,C18,,,,,,,,,,,,
000302-00-1102,C20,C17,C15,,,,,,,,,,,,,,,,,
000302-00-1106,C20,C18,C06,C12,C15,,,,,,,,,,,,,,,
000302-00-1110,C18,C20,C05,C12,,,,,,,,,,,,,,,,
000302-00-1113,overvote,overvote,overvote,overvote,,,,,,,,,,,,,,,,
000302-00-1115,C12,C15,C20,C06,C18,,,,,,,,,,,,,,,
000302-00-1119,C17,C16,C03,C02,C15,C04,C09,C19,C01,C13,,,,,,,,,,
000302-00-1122,C03,C17,C02,C04,,,,,,,,,,,,,,,,
000302-00-1124,C15,C18,C10,C06,C02,,,,,,,,,,,,,,,
000302-00-1128,C15,C16,C06,C02,C18,C20,,,,,,,,,,,,,,
000302-00-1129,overvote,C12,C13,C09,,,,,,,,,,,,,,,,
000302-00-1134,overvote,overvote,overvote,C01,,,,,,,,,,,,,,,,
000302-00-1138,C20,C19,C06,C18,C09,C02,C17,C16,C13,C12,C10,C08,C11,C14,C15,C03,C04,C05,C07,C01
000302-00-1141,overvote,,,,,,,,,,,,,,,,,,,
000302-00-1143,C02,C01,C09,C13,C16,C06,,,,,,,,,,,,,,
000302-00-1146,C20,C06,C18,,,,,,,,,,,,,,,,,
000302-00-1150,C12,C20,C18,C06,C16,C04,C02,C13,C15,,,,,,,,,,,
000302-00-1152,C20,C18,C06,,,,,,,,,,,,,,,,,
000302-00-1156,C03,,,,,,,,,,,,,,,,,,,
000302-00-1158,C13,C06,C20,,,,,,,,,,,,,,,,,
000302-00-1161,overvote,,,,,,,,,,,,,,,,,,,
000302-00-1164,C18,C20,C12,C06,C02,C04,C16,C15,,,,,,,,,,,,
000302-00-1167,C13,C16,C04,C15,C02,C20,C10,,,,,,,,,,,,,
000302-00-1172,C16,C15,C18,C05,C01,C20,C02,C19,C12,,,,,,,,,,,
000302-00-1173,C04,C01,C20,C06,,,,,,,,,,,,,,,,
000302-00-1176,C06,C05,,,,,,,,,,,,,,,,,,
000302-00-1181,C10,C15,C02,C16,,,,,,,,,,,,,,,,
000302-00-1184,C16,C13,C17,C19,C05,C08,,,,,,,,,,,,,,
000302-00-1186,C17,C04,C20,,,,,,,,,,,,,,,,,
000302-00-1190,C09,,,,,,,,,,,,,,,,,,,
000302-00-1193,C16,C04,C02,,,,,,,,,,,,,,,,,
000302-00-1194,C17,C16,C04,C19,C13,C14,C01,,,,,,,,,,,,,
000302-00-1198,C18,C06,C20,C02,C01,C13,C12,C04,,,,,,,,,,,,
000302-00-1200,C04,C20,C06,C09,C17,C05,C12,C15,,,,,,,,,,,,
000302-00-1203,C06,C20,,,,,,,,,,,,,,,,,,
000302-00-1206,C16,C17,C15,C04,C13,C02,C20,,,,,,,,,,,,,
000302-00-1210,C15,C18,C16,,,,,,,,,,,,,,,,,
000302-00-1213,C15,C16,C06,C10,C04,,,,,,,,,,,,,,,
000302-00-1218,C13,C14,C02,C16,,,,,,,,,,,,,,,,
000302-00-1220,C17,C16,C04,C19,C13,C14,C01,,,,,,,,,,,,,
000302-00-1224,C20,C13,C05,C12,C03,,,,,,,,,,,,,,,
000302-00-1228,C02,C08,C12,,,,,,,,,,,,,,,,,
000302-00-1231,C02,C15,C04,C16,C18,,,,,,,,,,,,,,,
000302-00-1234,C02,C14,C16,C04,C15,C12,,,,,,,,,,,,,,
000302-00-1236,C20,C12,C15,C02,C13,C18,,,,,,,,,,,,,,
000302-00-1239,C12,,,,,,,,,,,,,,,,,,,
000302-00-1243,C12,,,,,,,,,,,,,,,,,,,
000302-00-1246,C06,C15,C04,C02,C20,C18,C16,C13,C12,C10,C11,C14,C17,C19,C01,,,,,
000302-00-1250,C12,C10,C11,C02,C05,C08,C09,C07,C06,,,,,,,,,,,
000302-00-1252,C20,C06,C12,C15,,,,,,,,,,,,,,,,
000302-00-1256,C20,C03,C12,C10,C18,,,,,,,,,,,,,,,
000302-00-1259,C07,C08,C09,C10,C15,C11,C14,C17,C19,C01,C03,C05,,,,,,,,
000302-00-1262,overvote,,,,,,,,,,,,,,,,,,,
000302-00-1265,C20,C12,,,,,,,,,,,,,,,,,,
000302-00-1267,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,overvote,C15,C16,C17,C02,,,,,
000302-00-1270,C20,C06,C15,,,,,,,,,,,,,,,,,
000302-00-1273,C06,C18,C15,C12,C02,C04,C16,,,,,,,,,,,,,
000302-00-1278,C16,C06,C15,,,,,,,,,,,,,,,,,
000302-00-1281,C20,C06,C18,C16,,,,,,,,,,,,,,,,
000302-00-1285,C03,,,,,,,,,,,,,,,,,,,
000302-00-1286,C17,C20,C15,C02,C11,C04,C06,C16,C19,C07,C08,C09,C10,C12,C13,C14,C03,C01,C18,C05
000302-00-1291,C17,C09,C13,C04,C16,,,,,,,,,,,,,,,
000302-00-1292,C16,C02,C19,C04,C15,,,,,,,,,,,,,,,
