ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice
001002-00-0400,C02,C11,C13,C09,,,,,,,,,,,,
001002-00-0401,C02,C09,C05,,,,,,,,,,,,,
001002-00-0404,C02,C03,,,,,,,,,,,,,,
001002-00-0418,C02,,,,,,,,,,,,,,,
001002-00-0435,C02,C01,C09,C15,C12,C05,C04,C13,,,,,,,,
001002-00-0443,C02,C01,C09,C13,C11,,,,,,,,,,,
001002-00-0447,C02,C13,C01,C11,C09,,,,,,,,,,,
001002-00-0508,C02,C13,,,,,,,,,,,,,,
001002-00-0513,C02,C09,C01,C06,C14,C04,,,,,,,,,,
001002-00-0518,C02,C06,C13,,,,,,,,,,,,,
001002-00-0521,C02,C13,,,,,,,,,,,,,,
001002-00-0565,C02,C01,C11,C13,,,,,,,,,,,,
001002-00-0614,C02,C13,C06,C12,C01,,,,,,,,,,,
001002-00-0650,C02,C13,C01,C06,,,,,,,,,,,,
001002-00-0673,C02,C04,C06,C01,C12,C13,,,,,,,,,,
001002-00-0680,C02,C05,C12,C01,C13,C09,C11,C15,,,,,,,,
001002-00-0702,C02,,,,,,,,,,,,,,,
001002-00-0740,C02,C05,C09,,,,,,,,,,,,,
001002-00-0755,C02,C12,C01,C05,C09,C11,,,,,,,,,,
001002-00-0768,C02,C12,C01,C09,C13,C05,C03,C04,C06,,,,,,,
001002-00-0778,C02,C09,C12,C16,C04,C13,,,,,,,,,,
001002-00-0781,C02,C05,C08,C01,C06,C09,C11,C12,C16,C03,,,,,,
001002-00-0785,C02,C11,C05,C15,C13,C06,C16,C12,C04,C01,C14,C09,C08,C07,C10,
001002-00-0791,C02,C09,C01,,,,,,,,,,,,,
001002-00-0801,C02,C01,C04,C12,C13,C09,C16,C05,,,,,,,,
001002-00-0815,C02,C12,C01,C04,C09,C13,C10,,,,,,,,,
001002-00-0847,C02,C16,C11,C03,,,,,,,,,,,,
001002-00-0854,C02,C09,C13,C15,C03,C05,C16,C01,C06,C07,C10,C11,C12,,,
001002-00-0871,C02,C09,C01,,,,,,,,,,,,,
001002-00-0887,C02,C01,C16,C15,C03,C04,C05,C06,C07,C08,C09,C10,C11,,,
001002-00-0889,C02,C01,C16,C15,C14,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13
001002-00-0926,C02,C12,C06,C16,C05,,,,,,,,,,,
001002-00-0932,C02,C03,C11,C13,C05,C06,C15,C09,,,,,,,,
001002-00-0937,C02,C03,C07,C14,,,,,,,,,,,,
001002-00-0955,C02,C03,C06,C15,C16,C08,C07,C12,C14,C04,,,,,,
001002-00-0969,C02,C14,C11,C09,,,,,,,,,,,,
001002-00-0984,C02,C05,C09,C11,C13,C15,C14,,,,,,,,,
001002-00-0991,C02,C10,C13,C01,C08,C12,C14,C16,C04,C07,,,,,,
001002-00-0997,C02,C09,C05,,,,,,,,,,,,,
001002-00-1003,C02,C01,,,,,,,,,,,,,,
001002-00-1006,C02,C11,C09,C13,C05,C16,C15,C12,C07,C04,C06,C01,,,,
001002-00-1017,C02,C12,C01,,,,,,,,,,,,,
001002-00-1026,C02,C01,C15,C13,C10,C11,C12,C03,C04,C05,C06,C07,C08,C09,,
001002-00-1056,C02,C12,C01,,,,,,,,,,,,,
001002-00-1073,C02,C05,C15,C16,C11,,,,,,,,,,,
001002-00-1079,C02,C01,C06,C12,C04,C09,C11,C14,C15,C16,,,,,,
001002-00-1091,C02,C01,C09,C15,C13,C12,C05,C06,C16,C04,C07,C08,C10,C14,C03,C11
001002-00-1103,C02,C15,C05,C14,C03,,,,,,,,,,,
001002-00-1106,C02,C01,C12,C13,C04,C11,C16,,,,,,,,,
001002-00-1130,C02,C01,C12,C09,C04,C16,C05,C13,C03,C11,,,,,,
001002-00-1150,C02,C03,C01,C06,C14,C15,C16,C12,C05,,,,,,,
001002-00-1152,C02,C16,C13,C12,C01,C09,C10,C04,,,,,,,,
001002-00-1158,C02,C09,,,,,,,,,,,,,,
001002-00-1202,C02,C12,C13,C09,,,,,,,,,,,,
001002-00-1206,C02,C09,C01,,,,,,,,,,,,,
001002-00-1264,C02,C09,C08,C05,,,,,,,,,,,,
001002-00-1277,C02,C13,C01,C09,C12,,,,,,,,,,,
001002-00-1287,C02,C12,,,,,,,,,,,,,,
001002-00-1300,C02,,,,,,,,,,,,,,,
001002-00-1311,C02,C16,C09,,,,,,,,,,,,,
001002-00-1323,C02,C04,C12,C09,C11,C13,,,,,,,,,,
001002-00-1332,C02,C09,C13,C16,C04,C12,C10,C01,C05,,,,,,,
001002-00-0001,C02,C16,C13,C04,C05,C06,C03,C12,C11,C07,C08,C10,C09,WI0,C14,
001002-00-0002,C02,C05,C09,C13,C01,,,,,,,,,,,
001002-00-0003,C02,C12,C01,C13,C03,C05,C15,C06,C09,C11,C10,,,,,
001002-00-0006,C02,C01,C11,C12,C15,C03,C04,C05,C06,C07,C08,C09,C10,,,
000602-00-0005,C02,C12,,,,,,,,,,,,,,
000602-00-0031,C02,C01,C14,C16,C04,C07,C08,C10,C12,,,,,,,
000602-00-0046,C02,C12,C16,C04,C01,C09,C05,,,,,,,,,
000602-00-0051,C02,C13,C12,C11,C04,C16,C10,C01,C09,,,,,,,
000602-00-0052,C02,,,,,,,,,,,,,,,
000602-00-0060,C02,C01,C11,C13,C15,C03,,,,,,,,,,
000602-00-0090,C02,C11,C13,C12,C03,C05,C06,C07,C08,C09,C10,C14,C15,C16,C01,C04
000602-00-0118,C02,C01,C05,C09,C12,C11,,,,,,,,,,
000602-00-0137,C02,C11,C09,C01,C13,C03,,,,,,,,,,
000602-00-0182,C02,,,,,,,,,,,,,,,
000602-00-0238,C02,C11,C13,C06,C09,C12,C05,,,,,,,,,
000602-00-0242,C02,C06,C01,C15,C11,,,,,,,,,,,
000602-00-0245,C02,C12,,,,,,,,,,,,,,
000602-00-0249,C02,C12,C13,C11,C16,,,,,,,,,,,
000602-00-0251,C02,C09,C13,C11,C01,,,,,,,,,,,
000602-00-0254,C02,C13,C01,,,,,,,,,,,,,
000602-00-0275,C02,C12,C05,C01,C09,,,,,,,,,,,
000602-00-0324,C02,C16,C01,C12,C15,,,,,,,,,,,
000602-00-0327,C02,C01,C11,C13,C06,C15,C16,C09,,,,,,,,
000602-00-0332,C02,C03,C12,C13,C01,C15,C11,C09,C06,,,,,,,
000602-00-0345,C02,C01,C13,C09,C12,,,,,,,,,,,
000602-00-0350,C02,,,,,,,,,,,,,,,
000602-00-0364,C02,C03,C09,C06,C05,,,,,,,,,,,
000602-00-0375,C02,C03,C09,C05,C11,C15,C01,C13,,,,,,,,
000602-00-0398,C02,C05,,,,,,,,,,,,,,
000602-00-0423,C02,C09,C12,C01,C07,C13,C06,C16,C11,,,,,,,
000602-00-0450,C02,C01,C13,C06,C11,,,,,,,,,,,
000602-00-0464,C02,C03,C09,C12,C16,C06,,,,,,,,,,
000602-00-0471,C02,C01,C09,C11,C13,C16,C12,C05,C10,,,,,,,
000602-00-0510,C02,C04,C03,C01,C09,C12,C13,C11,C06,C05,C15,C16,C07,C14,,
000602-00-0530,C02,C09,C01,C13,,,,,,,,,,,,
000602-00-0562,C02,C01,C11,C13,C03,C15,C12,C09,C10,,,,,,,
000602-00-0589,C02,C01,C13,C09,,,,,,,,,,,,
000602-00-0634,C02,C03,C09,,,,,,,,,,,,,
000602-00-0641,C02,,,,,,,,,,,,,,,
000602-00-0659,C02,C09,C01,C13,C12,C16,C11,C05,C04,,,,,,,
000602-00-0661,C02,C09,C01,C11,C13,C16,C12,C05,C04,,,,,,,
000602-00-0666,C02,C13,C04,C09,C12,,,,,,,,,,,
000301-00-0028,C02,C15,,,,,,,,,,,,,,
000301-00-0082,C02,C11,C01,C13,C05,C16,C12,C09,C04,,,,,,,
000301-00-0184,C02,C13,C16,C15,C01,C03,,,,,,,,,,
000301-00-0200,C02,C15,,,,,,,,,,,,,,
000301-00-0234,C02,C14,C15,,,,,,,,,,,,,
000301-00-0309,C02,C12,C13,C05,C01,,,,,,,,,,,
000301-00-0495,C02,C03,C05,C06,C07,C08,C09,C10,C01,C16,C15,C14,C13,C12,C11,
000301-00-0511,C02,C13,C16,C05,C01,C12,C09,,,,,,,,,
000301-00-0721,C02,C01,C06,,,,,,,,,,,,,
000301-00-0722,C02,C01,C06,,,,,,,,,,,,,
000301-00-0001,C02,C09,C15,C12,C13,C16,C07,C11,,,,,,,,
000901-00-0023,C02,C01,C06,C11,C15,,,,,,,,,,,
000901-00-0061,C02,C13,C09,C16,C01,C12,C05,,,,,,,,,
000901-00-0065,C02,C13,C09,C11,C05,C04,C01,,,,,,,,,
000901-00-0089,C02,C03,C01,C09,,,,,,,,,,,,
000901-00-0095,C02,C01,C05,C09,C11,C12,C15,,,,,,,,,
000901-00-0112,C02,C06,,,,,,,,,,,,,,
000901-00-0115,C02,C13,C01,C03,C09,C12,,,,,,,,,,
000901-00-0149,C02,C13,C09,C12,C11,C04,C01,C06,,,,,,,,
000901-00-0156,C02,C12,C01,C16,C13,C04,C05,C09,,,,,,,,
000901-00-0170,C02,C09,C05,C13,C04,,,,,,,,,,,
000901-00-0180,C02,C01,C06,C16,C12,C11,,,,,,,,,,
000901-00-0182,C02,C01,C06,C09,C13,C14,C03,C04,C05,C12,C10,C08,C11,,,
000901-00-0215,C02,C05,C01,C06,C12,C15,,,,,,,,,,
000901-00-0227,C02,C06,C11,C12,,,,,,,,,,,,
000901-00-0236,C02,C01,C06,C11,C09,,,,,,,,,,,
000901-00-0305,C02,C01,C09,C11,,,,,,,,,,,,
000901-00-0315,C02,C13,C06,C01,C11,C09,,,,,,,,,,
000901-00-0317,C02,C01,C07,C12,C16,C05,C09,C13,C06,,,,,,,
000901-00-0323,C02,C13,C07,C05,C16,C06,C12,,,,,,,,,
000901-00-0346,C02,C06,C01,C12,C04,C09,,,,,,,,,,
000901-00-0348,C02,C01,C09,C12,C15,,,,,,,,,,,
000901-00-0434,C02,C11,C12,,,,,,,,,,,,,
000901-00-0437,C02,C01,C09,C13,C06,C05,C12,C15,,,,,,,,
000901-00-0451,C02,C03,C04,,,,,,,,,,,,,
000901-00-0540,C02,C12,C05,C13,C09,C15,C01,C16,C06,,,,,,,
000901-00-0572,C02,C06,C14,,,,,,,,,,,,,
000901-00-0602,C02,C05,C08,C11,C12,C14,C15,,,,,,,,,
000901-00-0604,C02,,,,,,,,,,,,,,,
000901-00-0641,C02,C12,C16,C09,C01,C13,C05,C06,,,,,,,,
000901-00-0659,C02,C01,C15,C09,C07,,,,,,,,,,,
000901-00-0678,C02,C01,C06,,,,,,,,,,,,,
000901-00-0698,C02,C01,C12,C11,,,,,,,,,,,,
000901-00-0738,C02,C01,C12,C06,C03,C11,,,,,,,,,,
000901-00-0786,C02,C01,C06,C11,C09,,,,,,,,,,,
000901-00-0800,C02,C01,,,,,,,,,,,,,,
000901-00-0807,C02,C01,C09,,,,,,,,,,,,,
000901-00-0826,C02,C13,C12,C06,C09,C01,,,,,,,,,,
000901-00-0832,C02,C09,C01,C13,C06,,,,,,,,,,,
000901-00-0842,C02,C09,C01,C05,C12,C13,C15,,,,,,,,,
000901-00-0847,C02,,,,,,,,,,,,,,,
000901-00-0888,C02,C12,C06,,,,,,,,,,,,,
000901-00-0911,C02,C13,C06,C12,C01,,,,,,,,,,,
000901-00-0913,C02,C09,C11,,,,,,,,,,,,,
000901-00-0916,C02,C09,C12,,,,,,,,,,,,,
000901-00-0926,C02,C11,,,,,,,,,,,,,,
000901-00-0928,C02,C11,,,,,,,,,,,,,,
000901-00-0971,C02,C01,C06,C05,C09,C12,C13,C15,,,,,,,,
000901-00-0973,C02,C01,C06,C09,C13,,,,,,,,,,,
000901-00-1015,C02,C13,C01,C09,,,,,,,,,,,,
000901-00-1040,C02,C01,C09,C12,C16,C03,C05,C13,C04,,,,,,,
000901-00-1064,C02,C01,C06,C09,C05,,,,,,,,,,,
000901-00-1072,C02,,,,,,,,,,,,,,,
000901-00-1101,C02,C06,,,,,,,,,,,,,,
000901-00-1112,C02,C01,,,,,,,,,,,,,,
000901-00-1117,C02,C04,C12,,,,,,,,,,,,,
000901-00-1154,C02,C11,C13,C01,C06,,,,,,,,,,,
000901-00-1186,C02,C11,C08,C07,,,,,,,,,,,,
000901-00-1209,C02,C13,C09,C16,C06,C05,,,,,,,,,,
000901-00-1262,C02,C01,C15,C16,C13,C05,C07,C08,C09,C12,,,,,,
000901-00-1263,C02,C01,C08,C16,C13,C05,C15,C09,C12,,,,,,,
000901-00-1266,C02,C01,C16,C13,C05,C08,C15,C09,C11,C12,,,,,,
000901-00-1269,C02,C06,C12,C09,C16,C05,C14,C01,C04,,,,,,,
000901-00-1276,C02,C09,C13,C11,C05,C06,,,,,,,,,,
000901-00-1295,C02,C09,C01,C11,C13,,,,,,,,,,,
000901-00-1329,C02,C01,C16,C13,C05,C04,C09,,,,,,,,,
000901-00-1349,C02,C01,C13,C09,C12,C04,C16,C05,,,,,,,,
000901-00-1353,C02,C06,C16,C01,C12,C11,,,,,,,,,,
000901-00-1357,C02,C13,C01,C12,C09,C16,,,,,,,,,,
000901-00-1391,C02,C06,,,,,,,,,,,,,,
000901-00-0001,C02,C09,C16,C01,C11,C12,,,,,,,,,,
000901-00-0013,C02,C06,C11,C16,C09,C12,,,,,,,,,,
000901-00-0034,C02,C13,C09,C12,C16,C06,,,,,,,,,,
000503-00-0164,C01,C02,C14,,,,,,,,,,,,,
000503-00-0193,C01,C02,C14,C11,,,,,,,,,,,,
000503-00-0404,C01,C02,C11,C13,C03,C09,,,,,,,,,,
000503-00-0434,C01,C02,,,,,,,,,,,,,,
000503-00-0505,C01,C02,C11,C07,C06,C03,C13,C05,C04,C14,C08,C09,C12,C10,C15,C16
000503-00-0542,C01,C02,C13,,,,,,,,,,,,,
000503-00-0745,C01,C02,C06,C13,C11,,,,,,,,,,,
000503-00-0850,C01,C02,C03,C12,,,,,,,,,,,,
000503-00-1030,C01,C02,C09,C03,C15,C06,C05,,,,,,,,,
000502-00-0895,C01,C02,C16,C12,C04,C05,C09,C13,,,,,,,,
000502-00-0966,C01,C02,C10,C13,C11,,,,,,,,,,,
000802-00-0175,C01,C02,C09,C13,,,,,,,,,,,,
000802-00-0250,C01,C02,C12,C13,C09,C05,C06,,,,,,,,,
000802-00-0312,C01,C02,C11,,,,,,,,,,,,,
000802-00-0397,C01,C02,C09,C10,,,,,,,,,,,,
000802-00-0517,C01,C02,C05,C09,C12,C15,,,,,,,,,,
000802-00-0746,C01,C02,C13,C11,C09,C03,,,,,,,,,,
000703-00-0044,C01,C02,C05,C09,C12,C13,,,,,,,,,,
000302-00-0202,C01,C02,C03,,,,,,,,,,,,,
000302-00-0643,C01,C02,C11,C15,,,,,,,,,,,,
001003-00-0182,C01,C02,,,,,,,,,,,,,,
001003-00-0461,C01,C02,C05,C06,C13,C09,C07,C12,C16,C03,,,,,,
001001-00-0212,C01,C02,C13,C11,C09,C12,,,,,,,,,,
001001-00-0257,C01,C02,C10,C13,,,,,,,,,,,,
001001-00-0365,C01,C02,C15,C06,,,,,,,,,,,,
001001-00-1015,C01,C02,C12,C11,C15,C09,C06,C05,,,,,,,,
000903-00-0532,C01,C02,C05,,,,,,,,,,,,,
000903-00-0630,C01,C02,C12,C07,C06,C08,C05,C16,C09,,,,,,,
000303-00-0032,C01,C02,C06,C13,C03,C05,C09,C15,C12,C14,C10,,,,,
000303-00-0408,C01,C02,,,,,,,,,,,,,,
000902-00-0079,C01,C02,C09,C06,,,,,,,,,,,,
000902-00-0369,C01,C02,C11,C06,C03,C13,C08,C09,C12,C15,C16,C10,C07,,,
000902-00-0938,C01,C02,C09,C11,,,,,,,,,,,,
000801-00-0396,C01,C02,C09,C07,C05,C16,C13,C12,,,,,,,,
000501-00-0657,C01,C02,C12,,,,,,,,,,,,,
000501-00-0813,C01,C02,C13,C15,C12,C11,C03,C16,C04,C06,C09,C05,C07,C08,C10,C14
001103-00-0382,C01,C02,C13,C16,C12,C04,,,,,,,,,,
001103-00-0744,C01,C02,C03,C05,C13,C10,C16,,,,,,,,,
001103-00-0931,C01,C02,C03,C05,,,,,,,,,,,,
001103-00-1227,C01,C02,C06,C12,C13,C15,,,,,,,,,,
001103-00-1626,C01,C02,C05,C11,C13,,,,,,,,,,,
000402-00-0336,C01,C02,C10,C11,C13,C03,C04,,,,,,,,,
000401-00-0641,C01,C02,C12,C11,C13,C06,C10,C03,,,,,,,,
000401-00-0896,C01,C02,C13,C11,C07,C16,,,,,,,,,,
000102-00-0941,C01,C02,C03,C05,C06,C09,C11,C13,,,,,,,,
000702-00-0026,C01,C02,C09,C06,C13,,,,,,,,,,,
000702-00-0124,C01,C02,C13,,,,,,,,,,,,,
000702-00-0280,C01,C02,C05,C09,C12,C15,,,,,,,,,,
000603-00-0683,C01,C02,C04,C06,C05,C03,C07,C09,C08,C10,C11,C12,C13,C14,C15,C16
001102-00-1051,C01,C02,C05,C09,C12,C15,C13,C08,,,,,,,,
001102-00-1315,C01,C02,C13,C04,C16,C09,,,,,,,,,,
000202-00-0010,C01,C02,C05,C03,C04,C09,C12,C13,C14,C11,,,,,,
000701-00-0476,C01,C02,C04,C14,,,,,,,,,,,,
000701-00-0746,C01,C02,C09,,,,,,,,,,,,,
000701-00-0953,C01,C02,C04,C07,C09,C12,C13,C14,C15,C16,C08,C06,C03,C11,C05,C10
001002-00-0162,C01,C02,C11,C03,C06,,,,,,,,,,,
001002-00-0896,C01,C02,C11,C03,C05,C06,C09,C13,C14,C15,,,,,,
001002-00-1188,C01,C02,C09,C06,C03,C11,,,,,,,,,,
001002-00-1310,C01,C02,C09,C06,,,,,,,,,,,,
000602-00-0697,C01,C02,C09,C05,C13,C16,C10,C07,C08,,,,,,,
000901-00-0298,C01,C02,C04,C13,C12,,,,,,,,,,,
000901-00-0363,C01,C02,C13,C06,C11,C09,C10,,,,,,,,,
000901-00-0496,C01,C02,C09,C12,,,,,,,,,,,,
000901-00-0797,C01,C02,C13,C11,C12,C08,,,,,,,,,,
000901-00-0875,C01,C02,C15,C05,C09,C12,C03,C06,C11,C13,C14,,,,,
000901-00-1082,C01,C02,C12,C06,C11,,,,,,,,,,,
000901-00-1135,C01,C02,C13,C06,,,,,,,,,,,,
000901-00-1304,C01,C02,C15,C05,C09,C12,,,,,,,,,,
000503-00-0068,C01,C02,C16,C10,,,,,,,,,,,,
000503-00-0200,C01,C02,C05,C09,C13,,,,,,,,,,,
000503-00-0378,C01,C02,C13,C11,C16,,,,,,,,,,,
001002-00-0008,WI0,C02,C09,C05,C04,C07,C12,,,,,,,,,
000203-00-0040,C10,C02,C01,C13,C05,C06,C07,C08,C09,C04,C11,C15,C16,C03,C14,C12
000502-00-0634,C10,C01,C02,C05,C11,C15,,,,,,,,,,
000902-00-0817,C10,C02,C06,,,,,,,,,,,,,
000902-00-0819,C10,C02,C06,C03,,,,,,,,,,,,
000401-00-0558,C10,C02,C01,,,,,,,,,,,,,
000401-00-0924,C10,C02,C01,C03,C07,C16,C05,C15,C04,C13,C06,C14,C11,C08,C12,C09
001001-00-1215,C08,C02,,,,,,,,,,,,,,
000903-00-0202,C08,C02,C06,C12,C01,C09,C16,C13,,,,,,,,
000902-00-1347,C08,C02,C01,C13,C15,C14,C05,C06,C09,,,,,,,
001101-00-0431,C08,C02,C07,C05,C15,C09,,,,,,,,,,
001102-00-0557,C08,C02,C01,C15,overvote,C13,C12,C10,C09,,,,,,,
001002-00-0690,C08,C02,C12,C03,C16,C05,C13,C01,,,,,,,,
000503-00-0287,C04,C02,C01,C15,C13,C11,C09,C06,C05,C07,C08,C10,C12,C14,C16,C03
000302-00-0110,C04,C02,C13,,,,,,,,,,,,,
001001-00-1004,C04,C02,C01,,,,,,,,,,,,,
001001-00-1159,C04,C02,C03,,,,,,,,,,,,,
000201-00-0053,C04,C15,C02,C05,C10,C09,C07,C06,C01,,,,,,,
000601-00-0129,C04,C02,,,,,,,,,,,,,,
000601-00-0805,C04,C02,C13,C11,,,,,,,,,,,,
000801-00-0271,C04,C02,C03,C05,C09,C11,C13,C01,,,,,,,,
000501-00-0232,C04,C01,C02,C11,,,,,,,,,,,,
000501-00-0386,C04,C01,C02,C11,,,,,,,,,,,,
000501-00-0675,C04,C02,C14,,,,,,,,,,,,,
000402-00-0605,C04,C01,C02,C05,C09,C12,C15,C11,,,,,,,,
000401-00-0349,C04,C02,C12,C01,,,,,,,,,,,,
000102-00-0902,C04,C02,C01,C13,C11,C12,C15,C16,C07,,,,,,,
000403-00-0104,C04,C01,C02,C14,C13,C05,C09,,,,,,,,,
000103-00-0379,C04,C01,C02,C11,C15,C05,C06,C13,C12,,,,,,,
000103-00-0731,C04,C15,C01,C02,C13,C05,C06,C14,,,,,,,,
000103-00-0874,C04,C01,C02,C15,C14,C05,C13,C03,C12,C09,C11,C06,,,,
001102-00-0491,C04,C02,C10,C12,C05,C06,,,,,,,,,,
001002-00-0952,C04,C02,C13,C06,C05,C09,C01,C11,C16,,,,,,,
001002-00-1167,C04,C02,C13,C09,C05,C11,C01,C16,,,,,,,,
001002-00-1334,C04,C02,C12,C09,C07,C05,C06,C08,C10,C13,C15,C16,C01,C11,C14,C03
000901-00-0703,C04,C01,C02,C06,C05,C14,C09,,,,,,,,,
000901-00-1343,C04,C02,C13,C09,C01,C12,C06,,,,,,,,,
000503-00-0207,C07,C01,C02,C11,C10,C04,C13,,,,,,,,,
001001-00-1033,C07,C15,C01,C02,C03,C05,C06,C08,C11,C09,C13,,,,,
001001-00-1102,C07,C15,C02,,,,,,,,,,,,,
000903-00-0796,C07,C02,C14,,,,,,,,,,,,,
000903-00-1174,C07,C02,C03,C13,C01,C11,,,,,,,,,,
000601-00-0095,C07,C15,C02,C14,C06,C09,C01,C13,C05,,,,,,,
000902-00-1304,C07,C02,C04,C14,C16,,,,,,,,,,,
000501-00-0277,C07,C02,C13,,,,,,,,,,,,,
000501-00-0676,C07,C02,C16,C01,C14,C15,C06,C09,C04,C13,C03,,,,,
000401-00-0601,C07,C01,C02,C13,C15,C05,C09,C11,,,,,,,,
000401-00-0757,C07,C02,C11,C13,C03,C06,C08,C09,C10,C12,C14,C15,C16,C01,C04,
000401-00-0766,C07,C02,C15,,,,,,,,,,,,,
000401-00-0977,C07,C02,C03,,,,,,,,,,,,,
000403-00-0073,C07,C02,C13,,,,,,,,,,,,,
000403-00-0216,C07,C01,C02,C13,C03,C04,C11,C14,C05,C06,,,,,,
000103-00-0004,overvote,C07,C01,C02,C03,C04,C05,C06,C14,C08,C09,C11,C10,C16,C12,
000701-00-0879,C07,C06,C02,C14,C11,C10,,,,,,,,,,
000602-00-0630,C07,C02,C12,C01,C13,,,,,,,,,,,
000301-00-0022,C07,C02,C15,C13,,,,,,,,,,,,
000602-00-0619,C08,C07,C01,C02,C13,C15,C03,C10,C14,,,,,,,
000401-00-0867,C04,C07,C02,C05,C16,C15,C13,C01,C12,,,,,,,
000503-00-0512,C03,C15,C06,C02,C01,C12,,,,,,,,,,
000503-00-0522,C03,C02,C05,C01,C09,C13,C11,C14,C15,,,,,,,
000503-00-0731,C03,C02,C13,C11,C14,C15,C16,C01,C04,C05,C06,C07,C08,C09,C10,
000503-00-0877,C03,C02,C14,C15,C09,,,,,,,,,,,
000203-00-0020,C03,C10,C02,C01,,,,,,,,,,,,
000802-00-0669,C03,C01,C02,C05,C06,C11,C13,C15,C14,C07,C04,C08,C09,C10,C16,C12
000101-00-0436,C03,C02,C15,C01,C05,C06,C09,C13,C08,C07,C04,C12,C14,,,
000703-00-0099,C03,C10,C01,C15,C02,,,,,,,,,,,
000302-00-0196,C03,C15,C02,C01,,,,,,,,,,,,
000302-00-0649,C03,C02,C01,C13,C05,C06,C15,C09,C10,C11,,,,,,
001003-00-0697,C03,C01,C02,C06,C11,,,,,,,,,,,
001003-00-0748,C03,C02,C11,C15,C12,C05,,,,,,,,,,
001001-00-0165,C03,C15,C02,C06,C10,C11,C14,C01,C12,C09,C05,,,,,
001001-00-0311,C03,C02,C01,C09,C08,,,,,,,,,,,
001001-00-0333,C03,C15,C06,C02,,,,,,,,,,,,
001001-00-0581,C03,C02,C10,,,,,,,,,,,,,
001001-00-0587,C03,C02,C09,C14,,,,,,,,,,,,
001001-00-0820,C03,C06,C15,C02,C09,C05,,,,,,,,,,
001001-00-0933,C03,C02,,,,,,,,,,,,,,
000903-00-0073,C03,C02,C06,C01,,,,,,,,,,,,
000903-00-0171,C03,C01,C02,,,,,,,,,,,,,
000903-00-0486,C03,C02,C15,C09,C06,C05,C01,C13,C11,C14,C07,C04,C16,C12,C10,
000903-00-0500,C03,C02,C01,C06,C15,,,,,,,,,,,
000903-00-0561,C03,C06,C07,C02,,,,,,,,,,,,
000903-00-0717,C03,C15,C02,,,,,,,,,,,,,
000201-00-0396,C03,C02,C13,C15,C11,,,,,,,,,,,
000601-00-0229,C03,C02,C15,C12,,,,,,,,,,,,
000902-00-0363,C03,C02,C15,,,,,,,,,,,,,
000902-00-0717,C03,C15,C02,,,,,,,,,,,,,
000902-00-0721,C03,C02,C01,C06,C05,C09,C13,C14,C15,C04,C07,C08,C10,C11,C12,C16
000902-00-0836,C03,C06,C15,C02,,,,,,,,,,,,
000902-00-0852,C03,C02,C15,,,,,,,,,,,,,
000902-00-0854,C03,C02,C11,C09,C06,C01,C15,C14,C13,,,,,,,
000902-00-1017,C03,C02,C01,C06,C11,C12,C09,,,,,,,,,
000902-00-1337,C03,C02,C12,C13,C15,C01,,,,,,,,,,
000801-00-0048,C03,C02,C09,C01,,,,,,,,,,,,
000801-00-0209,C03,C02,C09,,,,,,,,,,,,,
000501-00-0151,C03,C02,C01,C13,C14,,,,,,,,,,,
001103-00-0514,C03,C15,C01,C02,,,,,,,,,,,,
001103-00-0540,C03,C02,C01,C05,C06,C08,C15,,,,,,,,,
001103-00-0558,C03,C02,C11,C05,C06,C09,C12,C13,C15,,,,,,,
001103-00-0793,C03,C02,C01,C15,C13,C09,,,,,,,,,,
001103-00-0907,C03,C06,C02,C11,C05,C09,C15,C01,,,,,,,,
001103-00-1185,C03,C15,C02,,,,,,,,,,,,,
001103-00-1193,C03,C06,C01,C02,C11,,,,,,,,,,,
001103-00-1294,C03,C02,C01,C15,C13,C11,C10,C05,C09,C12,C14,C16,C04,C06,C07,C08
001101-00-0272,C03,C06,C02,C15,C13,,,,,,,,,,,
001101-00-0426,C03,C02,C14,C01,C04,,,,,,,,,,,
000402-00-0294,C03,C02,C15,C13,,,,,,,,,,,,
000401-00-0002,C03,C02,C12,C09,C06,C04,,,,,,,,,,
000401-00-0895,C03,C02,C16,C01,C13,,,,,,,,,,,
000702-00-0009,C03,C04,C02,C07,C01,C08,C09,C10,C11,C12,C13,C14,C15,C16,C06,C05
000603-00-0099,C03,C15,C01,C02,C05,C06,,,,,,,,,,
000603-00-0317,C03,C15,C06,C01,C02,C16,C14,C12,C10,C04,C05,C07,C08,C09,C13,
000603-00-0551,C03,C02,C15,C11,,,,,,,,,,,,
000603-00-0560,C03,C02,C15,,,,,,,,,,,,,
000603-00-0655,C03,C02,C15,C06,C04,C08,C07,C10,,,,,,,,
000603-00-0692,C03,C15,C11,C02,,,,,,,,,,,,
000603-00-0832,C03,C02,C09,C12,,,,,,,,,,,,
001102-00-0718,C03,C02,C15,C13,,,,,,,,,,,,
001102-00-1343,C03,C02,C06,C15,C01,,,,,,,,,,,
001102-00-1427,C03,C06,C10,C02,C01,C12,,,,,,,,,,
000701-00-0411,C03,C11,C02,,,,,,,,,,,,,
000701-00-0524,C03,C11,C01,C02,C09,,,,,,,,,,,
000701-00-0567,C03,C02,C15,C09,C06,,,,,,,,,,,
